default|BSC|BSC
default|Result_Time|Result_Time
default|Obj_Name|Obj_Name
default|LAC|LAC
default|CI|CI
default|TARGET_CI|TARGET_CI
1275068427|1275079417|OS_LAPD_Lnk_Q921_SABME_Tx
1275068427|1275079418|OS_LAPD_Lnk_Q921_SABME_Rx
1275068427|1275079419|OS_LAPD_Lnk_Q921_REJ_Tx
1275068427|1275079420|OS_LAPD_Lnk_Q921_REJ_Rx
1275068427|1275079421|OS_LAPD_Lnk_Q921_RNR_Tx
1275068427|1275079422|OS_LAPD_Lnk_Q921_RNR_Rx
1275068427|1275079423|OS_LAPD_Lnk_Q921_RESEND_Tx
1275068427|1275079424|OS_LAPD_Lnk_Q921_ERR_Rx
1275068427|1275079425|OS_LAPD_Lnk_Q921_DATA_Rx
1275068427|1275079426|OS_LAPD_Lnk_Q921_I_Tx
1275068427|1275079427|OS_LAPD_Lnk_Q921_I_Rx
1275068427|1275079428|OS_LAPD_Lnk_Q921_I_Over
1275068427|1275079429|OS_LAPD_Lnk_Q921_UA_Tx
1275068427|1275079430|OS_LAPD_Lnk_Q921_UA_Rx
1275068427|1275079431|OS_LAPD_Lnk_Q921_UI_Rx
1275069417|1276069419|SITE_TRSP_FAIL
1275069417|1276069420|SITE_SERV_OOS
1275069417|1276069421|SITE_SERV_RATE
1275069417|1276069422|SITE_SERV_NORM
1275069417|1276069423|SITE_PSU_TURNING_OFF_DUR
1275069419|1276071419|CELL_AIDING_BCCHAIDING
1275069419|1276071420|CELL_AIDING_BCCHRECOVER
1275069419|1276071421|CELL_AIDING_HOPAIDING
1275069419|1276071422|CELL_AIDING_HOPRECOVER
1275069419|1276071423|CELL_SERV_OOS
1275069419|1276071424|CELL_SERV_RATE
1275069419|1276071425|CELL_SERV_NORM
1275069421|1276073417|TRX_SERV_OOS
1275069421|1276073420|TRX_CUT_05DB_POWER_TIMES
1275069421|1276073421|TRX_CUT_10DB_POWER_TIMES
1275069421|1276073422|TRX_CUT_15DB_POWER_TIMES
1275069421|1276073423|TRX_CUT_20DB_POWER_TIMES
1275069427|1276079417|LAPD_TXSABME
1275069427|1276079418|LAPD_RXSABME
1275069427|1276079419|LAPD_TXREJ
1275069427|1276079420|LAPD_RXREJ
1275069427|1276079421|LAPD_TXRNR
1275069427|1276079422|LAPD_RXRNR
1275069427|1276079423|LAPD_RETX
1275069427|1276079424|LAPD_NRERR
1275069427|1276079425|LAPD_DATA
1275069427|1276079426|LAPD_TX_I
1275069427|1276079427|LAPD_RX_I
1275069427|1276079428|LAPD_IOVER
1275069427|1276079429|LAPD_RXLONGFRMERR
1275069427|1276079430|LAPD_RXOCTERR
1275069427|1276079431|LAPD_RXLOSESERIAL
1275069427|1276079432|LAPD_RXCRCERR
1275069427|1276079433|LAPD_L1L2_IOVER
1275069427|1276079434|LAPD_RXFRMPHY
1275069428|1276080417|SITE_ASS_CS_8K
1275069428|1276080418|SITE_ASS_CS_16K
1275069428|1276080419|SITE_ASS_PS_MAIN_LNK
1275069428|1276080420|SITE_ASS_PS_SUB_LNK
1275069428|1276080421|SITE_ASS_FAIL_CS_8K
1275069428|1276080422|SITE_ASS_FAIL_CS_16K
1275069428|1276080423|SITE_ASS_FAIL_PS_MAIN_LNK
1275069428|1276080424|SITE_ASS_FAIL_PS_SUB_LNK
1275069428|1276080425|SITE_FLEX_TS_NUM
1275069428|1276080426|SITE_FAULT_FLEX_TS_NUM
1275069428|1276080427|SITE_8K_ASS_FAIL_RATE
1275069428|1276080428|SITE_16K_ASS_FAIL_RATE
1275069428|1276080429|SITE_LNK_FAIL_CS
1275069433|1276085417|TRX_PWR_ADJUST_OFF_DUR
1275069433|1276085418|TRX_TS_PWR_ADJUST_OFF_TIMES
1275069618|1276270417|BS_A_INTFACE_UNINSTALL_CIC_SUM
1275069618|1276270418|BS_A_INTFACE_UNINSTALL_CIC_SUMTIME
1275069618|1276270419|BS_A_INTFACE_UNINSTALL_CIC_AVG
1275069618|1276270420|BS_A_INTFACE_FAULT_CIC_SUM
1275069618|1276270421|BS_A_INTFACE_FAULT_CIC_SUMTIME
1275069618|1276270422|BS_A_INTFACE_FAULT_CIC_AVG
1275069618|1276270423|BS_A_INTFACE_MAINTAIN_CIC_SUM
1275069618|1276270424|BS_A_INTFACE_MAINTAIN_CIC_SUMTIME
1275069618|1276270425|BS_A_INTFACE_MAINTAIN_CIC_AVG
1275069618|1276270426|BS_A_INTFACE_OAMBLOCK_CIC_SUM
1275069618|1276270427|BS_A_INTFACE_OAMBLOCK_CIC_SUMTIME
1275069618|1276270428|BS_A_INTFACE_OAMBLOCK_CIC_AVG
1275069618|1276270429|BS_A_INTFACE_IDLE_CIC_SUM
1275069618|1276270430|BS_A_INTFACE_IDLE_CIC_SUMTIME
1275069618|1276270431|BS_A_INTFACE_IDLE_CIC_AVG
1275069618|1276270432|BS_A_INTFACE_BUSY_CIC_SUM
1275069618|1276270433|BS_A_INTFACE_BUSY_CIC_SUMTIME
1275069618|1276270434|BS_A_INTFACE_BUSY_CIC_AVG
1275069618|1276270435|BS_A_INTFACE_PEER_UNINSTALL_CIC_SUM
1275069618|1276270436|BS_A_INTFACE_PEER_UNINSTALL_CIC_SUMTIME
1275069618|1276270437|BS_A_INTFACE_PEER_UNINSTALL_CIC_AVG
1275069718|1276370417|BS_A_INTFACE_BUSY_TS1_SUM
1275069718|1276370418|BS_A_INTFACE_BUSY_TS1_SUMTIME
1275069718|1276370419|BS_A_INTFACE_BUSY_TS1_SUMAVR
1275069718|1276370420|BS_A_INTFACE_BUSY_TS2_SUM
1275069718|1276370421|BS_A_INTFACE_BUSY_TS2_SUMTIME
1275069718|1276370422|BS_A_INTFACE_BUSY_TS2_SUMAVR
1275069718|1276370423|BS_A_INTFACE_BUSY_TS3_SUM
1275069718|1276370424|BS_A_INTFACE_BUSY_TS3_SUMTIME
1275069718|1276370425|BS_A_INTFACE_BUSY_TS3_SUMAVR
1275069718|1276370426|BS_A_INTFACE_BUSY_TS4_SUM
1275069718|1276370427|BS_A_INTFACE_BUSY_TS4_SUMTIME
1275069718|1276370428|BS_A_INTFACE_BUSY_TS4_SUMAVR
1275069718|1276370429|BS_A_INTFACE_BUSY_TS5_SUM
1275069718|1276370430|BS_A_INTFACE_BUSY_TS5_SUMTIME
1275069718|1276370431|BS_A_INTFACE_BUSY_TS5_SUMAVR
1275069718|1276370432|BS_A_INTFACE_BUSY_TS6_SUM
1275069718|1276370433|BS_A_INTFACE_BUSY_TS6_SUMTIME
1275069718|1276370434|BS_A_INTFACE_BUSY_TS6_SUMAVR
1275069718|1276370435|BS_A_INTFACE_BUSY_TS7_SUM
1275069718|1276370436|BS_A_INTFACE_BUSY_TS7_SUMTIME
1275069718|1276370437|BS_A_INTFACE_BUSY_TS7_SUMAVR
1275069718|1276370438|BS_A_INTFACE_BUSY_TS8_SUM
1275069718|1276370439|BS_A_INTFACE_BUSY_TS8_SUMTIME
1275069718|1276370440|BS_A_INTFACE_BUSY_TS8_SUMAVR
1275069718|1276370441|BS_A_INTFACE_BUSY_TS9_SUM
1275069718|1276370442|BS_A_INTFACE_BUSY_TS9_SUMTIME
1275069718|1276370443|BS_A_INTFACE_BUSY_TS9_SUMAVR
1275069718|1276370444|BS_A_INTFACE_BUSY_TS10_SUM
1275069718|1276370445|BS_A_INTFACE_BUSY_TS10_SUMTIME
1275069718|1276370446|BS_A_INTFACE_BUSY_TS10_SUMAVR
1275069718|1276370447|BS_A_INTFACE_BUSY_TS11_SUM
1275069718|1276370448|BS_A_INTFACE_BUSY_TS11_SUMTIME
1275069718|1276370449|BS_A_INTFACE_BUSY_TS11_SUMAVR
1275069718|1276370450|BS_A_INTFACE_BUSY_TS12_SUM
1275069718|1276370451|BS_A_INTFACE_BUSY_TS12_SUMTIME
1275069718|1276370452|BS_A_INTFACE_BUSY_TS12_SUMAVR
1275069718|1276370453|BS_A_INTFACE_BUSY_TS13_SUM
1275069718|1276370454|BS_A_INTFACE_BUSY_TS13_SUMTIME
1275069718|1276370455|BS_A_INTFACE_BUSY_TS13_SUMAVR
1275069718|1276370456|BS_A_INTFACE_BUSY_TS14_SUM
1275069718|1276370457|BS_A_INTFACE_BUSY_TS14_SUMTIME
1275069718|1276370458|BS_A_INTFACE_BUSY_TS14_SUMAVR
1275069718|1276370459|BS_A_INTFACE_BUSY_TS15_SUM
1275069718|1276370460|BS_A_INTFACE_BUSY_TS15_SUMTIME
1275069718|1276370461|BS_A_INTFACE_BUSY_TS15_SUMAVR
1275069718|1276370462|BS_A_INTFACE_BUSY_TS16_SUM
1275069718|1276370463|BS_A_INTFACE_BUSY_TS16_SUMTIME
1275069718|1276370464|BS_A_INTFACE_BUSY_TS16_SUMAVR
1275069718|1276370465|BS_A_INTFACE_BUSY_TS17_SUM
1275069718|1276370466|BS_A_INTFACE_BUSY_TS17_SUMTIME
1275069718|1276370467|BS_A_INTFACE_BUSY_TS17_SUMAVR
1275069718|1276370468|BS_A_INTFACE_BUSY_TS18_SUM
1275069718|1276370469|BS_A_INTFACE_BUSY_TS18_SUMTIME
1275069718|1276370470|BS_A_INTFACE_BUSY_TS18_SUMAVR
1275069718|1276370471|BS_A_INTFACE_BUSY_TS19_SUM
1275069718|1276370472|BS_A_INTFACE_BUSY_TS19_SUMTIME
1275069718|1276370473|BS_A_INTFACE_BUSY_TS19_SUMAVR
1275069718|1276370474|BS_A_INTFACE_BUSY_TS20_SUM
1275069718|1276370475|BS_A_INTFACE_BUSY_TS20_SUMTIME
1275069718|1276370476|BS_A_INTFACE_BUSY_TS20_SUMAVR
1275069718|1276370477|BS_A_INTFACE_BUSY_TS21_SUM
1275069718|1276370478|BS_A_INTFACE_BUSY_TS21_SUMTIME
1275069718|1276370479|BS_A_INTFACE_BUSY_TS21_SUMAVR
1275069718|1276370480|BS_A_INTFACE_BUSY_TS22_SUM
1275069718|1276370481|BS_A_INTFACE_BUSY_TS22_SUMTIME
1275069718|1276370482|BS_A_INTFACE_BUSY_TS22_SUMAVR
1275069718|1276370483|BS_A_INTFACE_BUSY_TS23_SUM
1275069718|1276370484|BS_A_INTFACE_BUSY_TS23_SUMTIME
1275069718|1276370485|BS_A_INTFACE_BUSY_TS23_SUMAVR
1275069718|1276370486|BS_A_INTFACE_BUSY_TS24_SUM
